SourceNode,InputProcessOutput,DestinationNode
EnvironmentalSensors,Input,CityDataCenter
SmartTrafficLights,Input,CityDataCenter
TrafficCameras,Input,CityDataCenter
NoiseMonitoringSensors,Input,CityDataCenter
AirQualityMonitors,Input,CityDataCenter
WeatherMonitoringStation,Input,CityDataCenter
SmartWasteBins,Input,CityDataCenter
SmartParkingSystem,Input,CityDataCenter
SmartStreetLighting,Input,CityDataCenter
SmartEnergyGrid,Input,CityDataCenter
WaterManagementSystem,Input,CityDataCenter
DigitalCitizenPortal,Process,CityDataCenter
EmergencyResponseCenter,Process,CityDataCenter
PublicDisplayScreens,Process,CityDataCenter
SmartHomeSystems,Output,SmartEnergyGrid
ElectricVehicleChargingStations,Output,SmartEnergyGrid
SolarPanels,Output,SmartEnergyGrid
SmartIrrigationSystem,Output,WaterManagementSystem
PublicWi-FiNetwork,Input,DigitalCitizenPortal
PublicWi-FiNetwork,Input,SmartHomeSystems
PublicWi-FiNetwork,Input,PublicLibrary
AutonomousBuses,Input,SmartTrafficLights
AutonomousBuses,Output,SmartParkingSystem
Bike-SharingStations,Input,SmartParkingSystem
SmartCrosswalks,Input,SmartTrafficLights
PoliceStation,Input,EmergencyResponseCenter
FireStation,Input,EmergencyResponseCenter
HealthcareClinic,Input,EmergencyResponseCenter
DigitalCitizenPortal,Process,CityHall
CommunityCenter,Input,DigitalCitizenPortal
PublicParks,Output,SmartIrrigationSystem
PublicParks,Output,EnvironmentalSensors
