Source,InformationFlow,Destination
Basic Commercial Vehicle,host commercial vehicle status,Commercial Vehicle OBE
Commercial Vehicle OBE,safe vehicle disable,Basic Commercial Vehicle
Alerting and Advisory System,alerts and advisories,Commercial Vehicle Administration Center
Archived Data System,archive status,Commercial Vehicle Administration Center
Border Inspection Administration Center,client verification request,Commercial Vehicle Administration Center
Border Inspection Administration Center,pre-arrival notification,Commercial Vehicle Administration Center
Border Inspection System,arrival notification,Commercial Vehicle Administration Center
Commercial Vehicle Administration Center,commercial vehicle archive data,Archived Data System
Commercial Vehicle Administration Center,border clearance status,Border Inspection Administration Center
Commercial Vehicle Administration Center,client verification information,Border Inspection Administration Center
Commercial Vehicle Administration Center,screening results,Border Inspection Administration Center
Commercial Vehicle Administration Center,commercial vehicle administration information presentation,Commercial Vehicle Administrator
Commercial Vehicle Administration Center,accident report,Commercial Vehicle Check Equipment
Commercial Vehicle Administration Center,border agency clearance results,Commercial Vehicle Check Equipment
Commercial Vehicle Administration Center,carrier participation report,Commercial Vehicle Check Equipment
Commercial Vehicle Administration Center,citation,Commercial Vehicle Check Equipment
Commercial Vehicle Administration Center,commercial vehicle permit information,Commercial Vehicle Check Equipment
Commercial Vehicle Administration Center,credentials information,Commercial Vehicle Check Equipment
Commercial Vehicle Administration Center,credentials status information,Commercial Vehicle Check Equipment
Commercial Vehicle Administration Center,cv driver record,Commercial Vehicle Check Equipment
Commercial Vehicle Administration Center,driver log,Commercial Vehicle Check Equipment
Commercial Vehicle Administration Center,safety inspection report,Commercial Vehicle Check Equipment
Commercial Vehicle Administration Center,safety status information,Commercial Vehicle Check Equipment
Commercial Vehicle Administration Center,targeted list,Commercial Vehicle Check Equipment
Commercial Vehicle Administration Center,transportation border clearance assessment,Commercial Vehicle Check Equipment
Commercial Vehicle Administration Center,trigger area notification,Commercial Vehicle Check Equipment
Commercial Vehicle Administration Center,trigger control,Commercial Vehicle Check Equipment
Commercial Vehicle Administration Center,trip declaration identifiers,Commercial Vehicle Check Equipment
Commercial Vehicle Administration Center,safety inspection record,Commercial Vehicle OBE
Commercial Vehicle Administration Center,trigger area notification,Commercial Vehicle OBE
